txn_id,scheme,cost_type,cost_amount
8f28b6f3-fc78-4700-9dcc-3e8ff61ebff1,Visa,interchange_fee,1.32
b99cf8da-dc01-4a1e-a64c-89802a08214c,Visa,interchange_fee,0.01
4ab83e18-8171-4bf2-a3c6-19456cdb4ae7,Mastercard,interchange_fee,0.01
3f2c1569-7c88-4d60-ac35-be28c0383551,Visa,interchange_fee,0.28
9ec8c478-25a6-4b8f-84f7-73bc131e1e35,Visa,interchange_fee,0.02
e51e7903-0364-480e-a26e-d2863f162267,Mastercard,interchange_fee,0.06
4d34b9c9-46b0-44ae-b119-7d0b0719a856,Mastercard,interchange_fee,0.03
777da5f9-618a-427d-8534-756e86ae3731,Mastercard,interchange_fee,0.01
a6f33d64-c557-4d91-b86a-d0179dadf9e4,Mastercard,interchange_fee,0.0
dc3f0480-a762-4386-aac9-839409d9bf3b,Visa,interchange_fee,0.44
177480db-5ab3-4451-a643-32af858a133b,Visa,interchange_fee,0.16
ad8c71a6-f3c4-42c5-86af-1de6503b4bfa,Mastercard,interchange_fee,0.28
3b6ef9a8-8256-4466-b86d-bb5d7650b755,Visa,interchange_fee,0.43
6ed2a4ac-0f21-4b05-a084-c9fcfcbd8ac8,Visa,interchange_fee,0.04
2a6c0aa2-7d08-4b15-b574-76f9734262c2,Mastercard,interchange_fee,0.51
dc3c6bbb-1c28-4995-a180-b1c237569b04,Mastercard,interchange_fee,0.4
37b53aaf-8609-4654-983f-4ba684062771,Visa,interchange_fee,0.5
bc119018-d960-4b17-b645-5b67c506719f,Mastercard,interchange_fee,0.79
525bf551-665c-4421-ac5f-3b268f230a71,Visa,interchange_fee,0.2
0f33131c-98ec-42e1-bccc-a57a3b1eadb0,Visa,interchange_fee,0.25
476f43b1-fd64-4fa1-ac98-b681f509203a,Visa,interchange_fee,1.06
f5111f71-b4d9-480b-a321-095e162cfb5e,Mastercard,interchange_fee,0.01
cd62fd36-d5f2-437e-95dc-506c99d8adaf,Visa,interchange_fee,0.46
05dde624-c6d8-4e01-b582-e3ae1b812e5f,Mastercard,interchange_fee,0.14
e777592e-6f59-4e20-800a-06e95ab8a31b,Mastercard,interchange_fee,0.24
2d27dd76-86e0-4466-b68c-76f80984447f,Visa,interchange_fee,0.36
b686db4a-bfdc-4072-ae23-d73a2913689e,Visa,interchange_fee,0.32
dde97098-c57a-4c70-acdc-67dcb4537473,Mastercard,interchange_fee,0.24
f346832e-9aee-4e00-8cfb-e8d132e01da3,Mastercard,interchange_fee,0.4
3ae1ab40-0dfe-44b9-8d1b-85c99427ad92,Visa,interchange_fee,0.04
