txn_id,card_id,txn_date,merchant_category,amount,txn_fee,reversed_flag
8f28b6f3-fc78-4700-9dcc-3e8ff61ebff1,C659_c3c0,2023-10-24,E-commerce,116.83,2.12,0
b99cf8da-dc01-4a1e-a64c-89802a08214c,C23_40a2,2023-12-29,E-commerce,2.11,0.03,0
4ab83e18-8171-4bf2-a3c6-19456cdb4ae7,C480_9407,2024-03-13,Fuel,2.4,0.04,0
3f2c1569-7c88-4d60-ac35-be28c0383551,C262_07f7,2025-06-23,Groceries,33.08,0.18,0
9ec8c478-25a6-4b8f-84f7-73bc131e1e35,C401_5ba1,2024-11-05,E-commerce,1.89,0.02,0
e51e7903-0364-480e-a26e-d2863f162267,C398_5272,2023-11-26,Restaurants,8.65,0.04,0
4d34b9c9-46b0-44ae-b119-7d0b0719a856,C725_900e,2025-01-05,Utilities,7.16,0.13,0
777da5f9-618a-427d-8534-756e86ae3731,C44_2037,2025-01-14,Groceries,3.17,0.04,0
a6f33d64-c557-4d91-b86a-d0179dadf9e4,C348_d6b6,2025-03-17,Subscriptions,0.22,0.0,0
dc3f0480-a762-4386-aac9-839409d9bf3b,C399_41b7,2023-11-06,Subscriptions,43.03,0.57,0
177480db-5ab3-4451-a643-32af858a133b,C199_f325,2023-07-06,Groceries,59.83,0.85,0
ad8c71a6-f3c4-42c5-86af-1de6503b4bfa,C880_028f,2025-04-29,Fuel,24.11,0.15,0
3b6ef9a8-8256-4466-b86d-bb5d7650b755,C433_2d79,2025-05-09,Fuel,47.27,0.24,0
6ed2a4ac-0f21-4b05-a084-c9fcfcbd8ac8,C141_22b3,2024-01-16,Restaurants,8.09,0.13,0
2a6c0aa2-7d08-4b15-b574-76f9734262c2,C286_a74b,2025-04-26,Restaurants,43.71,0.4,0
dc3c6bbb-1c28-4995-a180-b1c237569b04,C851_4d86,2025-04-07,Groceries,33.53,0.36,0
37b53aaf-8609-4654-983f-4ba684062771,C837_0148,2024-08-23,Restaurants,47.08,0.55,0
bc119018-d960-4b17-b645-5b67c506719f,C82_8d7f,2024-10-29,Restaurants,76.36,0.88,0
525bf551-665c-4421-ac5f-3b268f230a71,C407_7c87,2025-04-17,Utilities,16.92,0.16,0
0f33131c-98ec-42e1-bccc-a57a3b1eadb0,C542_197e,2024-01-30,Utilities,65.64,1.09,0
476f43b1-fd64-4fa1-ac98-b681f509203a,C862_7b4b,2024-03-02,Travel,101.88,1.12,0
f5111f71-b4d9-480b-a321-095e162cfb5e,C206_ef58,2025-05-25,Groceries,1.3,0.03,0
cd62fd36-d5f2-437e-95dc-506c99d8adaf,C587_7f57,2025-03-11,Travel,38.66,0.77,0
05dde624-c6d8-4e01-b582-e3ae1b812e5f,C497_1679,2023-11-20,Fuel,20.13,0.27,0
e777592e-6f59-4e20-800a-06e95ab8a31b,C896_d751,2024-07-04,Travel,65.52,0.51,0
2d27dd76-86e0-4466-b68c-76f80984447f,C481_b5f7,2023-11-10,E-commerce,34.89,0.57,0
b686db4a-bfdc-4072-ae23-d73a2913689e,C447_c4d3,2025-04-20,Restaurants,27.14,0.54,0
dde97098-c57a-4c70-acdc-67dcb4537473,C184_c6b7,2025-06-04,Fuel,20.67,0.15,0
f346832e-9aee-4e00-8cfb-e8d132e01da3,C681_4b7b,2025-01-17,Groceries,82.45,0.87,0
3ae1ab40-0dfe-44b9-8d1b-85c99427ad92,C164_90a0,2024-08-15,Restaurants,2.72,0.04,0
ab2a7ee2-dbdd-4860-84cd-61419283fc77,C785_13e3,2023-07-17,Utilities,42.23,0.64,0
746e80c4-41fb-4b2a-8fee-b9b05e9bc37d,C200_fbf2,2025-02-04,Utilities,96.07,1.16,0
483b995a-9c83-4a7c-b990-c977f4235c2c,C274_da2e,2025-03-20,Travel,109.71,1.39,0
5fd98507-fe82-4c9b-94bd-103a864bdc2a,C839_051c,2024-01-31,Restaurants,4.09,0.07,0
896642b1-70e3-48bd-a4a9-8afd111475f2,C615_be7c,2023-10-08,Restaurants,48.14,0.78,0
fcbbb96c-18ed-459e-bba0-da15d2d56736,C608_7ffc,2023-09-25,Subscriptions,31.58,0.47,0
3787ba1c-6a33-496c-9684-797b2a1926e5,C473_b4fb,2023-10-26,Travel,10.29,0.09,0
a0647f1b-5a1e-40f6-b973-e941404a2d86,C784_4b62,2024-08-20,Utilities,13.08,0.23,0
bd5c59e0-dfe2-4e40-81f4-b82f4100c20e,C560_793c,2024-03-29,Travel,38.17,0.62,0
ee7dbc72-e427-4210-8de6-5b43850c2e30,C431_6478,2023-07-07,Groceries,71.78,0.4,0
a9498f96-6ba7-44d9-a802-ab32f1095f1e,C716_e847,2023-08-17,Utilities,96.59,1.12,0
b5f1e073-d379-4278-9362-5c7f1c71b0af,C266_0392,2025-06-21,E-commerce,28.18,0.3,0
bf46ead5-12f7-4cd3-8a4d-7e3a759e9cbe,C461_86d6,2024-05-20,Utilities,82.71,1.46,0
a0a1fdd7-d610-4700-b4a4-edefb8d59b93,C226_af3b,2023-09-14,E-commerce,103.57,1.51,0
688df8af-2f42-4b58-bc1e-8fbb61c2dec4,C620_ec20,2023-10-20,Utilities,61.36,0.95,0
581e00f8-08b2-4ce5-b544-412b8fb5f417,C668_fde6,2025-05-03,Subscriptions,41.69,0.82,0
156d3de3-241f-4c26-885e-520447468251,C988_352a,2024-05-24,Travel,44.46,0.64,0
eb4d4085-8bcb-4998-b189-094a910f0fed,C264_a31c,2024-11-02,Fuel,65.71,1.13,0
30422db9-986f-4ed6-8cf1-96bbe9f5e3ab,C709_678b,2024-02-27,E-commerce,48.02,0.71,0
a8beec6f-ab88-42d4-8bc1-a0f5aa7c044b,C971_8a68,2024-09-06,Travel,7.71,0.06,0
71ca581e-3852-4f5b-9555-637d0b489eb1,C620_ec20,2025-06-24,Restaurants,5.55,0.04,0
688a1c81-81cd-44bb-a115-a910b92ff26b,C486_6c82,2025-01-22,Subscriptions,130.36,1.15,0
b828ceb0-08b8-427a-8a34-d6d48dc78aa7,C794_e31b,2023-10-12,Travel,40.74,0.49,0
34bdba0d-8e4a-4806-88a3-920bed6420ba,C319_9a64,2023-11-28,Utilities,117.77,1.58,0
b1f2dfcc-5dcf-4f61-8371-eb470e1ee981,C975_df29,2024-01-20,Travel,11.81,0.19,0
096b03e6-21a4-4722-a253-00a248d44211,C464_d6ca,2025-01-16,Restaurants,37.36,0.62,0
34ff496a-d525-43c8-8ceb-46d39fe62e36,C145_e633,2023-11-25,Fuel,25.66,0.17,0
6d9ed7ae-0acb-46bb-80d2-870b4b5c31ed,C313_827a,2024-06-11,Fuel,215.65,1.63,0
02a5887c-f254-44de-b0fc-a11e8cec313e,C502_73cc,2024-06-01,Groceries,29.03,0.42,0
5df56b6f-1a6e-4238-ad0d-15252aa092ae,C551_746c,2024-12-18,Travel,0.65,0.01,0
44cfc3ca-c3fa-4764-9fd8-a0ca3b036dfd,C502_0063,2024-05-19,Subscriptions,149.48,1.17,0
90be68d5-5aa9-40d9-801a-bff766cdd662,C49_6dbf,2025-02-15,Travel,55.26,0.68,0
370934f0-53db-4e97-975c-f014b94f6849,C701_6574,2023-10-27,Subscriptions,72.03,1.12,0
dff0ad78-64b3-4997-b8d9-b7b40abd9cd0,C725_dad1,2024-11-26,Restaurants,14.87,0.08,0
